month_year,master_category,borough,total,usual_status,temporarily_closed,permanently_closed
01_2021,restaurants,Barking and Dagenham,106,0.9811320754716981,0,0.018867924528301886
01_2021,restaurants,Barnet,326,0.9294478527607362,0.03680981595092025,0.03374233128834356
01_2021,restaurants,Bexley,186,0.9408602150537635,0.03763440860215054,0.021505376344086023
01_2021,restaurants,Brent,260,0.9230769230769231,0.046153846153846156,0.03076923076923077
01_2021,restaurants,Bromley,252,0.9246031746031746,0.047619047619047616,0.027777777777777776
01_2021,restaurants,Camden,879,0.7542662116040956,0.1956769055745165,0.05005688282138794
01_2021,restaurants,Croydon,306,0.8986928104575164,0.049019607843137254,0.05228758169934641
01_2021,restaurants,Ealing,285,0.9122807017543859,0.05263157894736842,0.03508771929824561
01_2021,restaurants,Enfield,233,0.9184549356223176,0.04291845493562232,0.03862660944206009
01_2021,restaurants,Greenwich,247,0.902834008097166,0.0728744939271255,0.024291497975708502
01_2021,restaurants,Hackney,558,0.8637992831541219,0.0967741935483871,0.03942652329749104
01_2021,restaurants,Hammersmith and Fulham,372,0.8548387096774194,0.11021505376344086,0.03494623655913978
01_2021,restaurants,Haringey,300,0.9233333333333333,0.06,0.016666666666666666
01_2021,restaurants,Harrow,176,0.9147727272727273,0.03977272727272727,0.045454545454545456
01_2021,restaurants,Havering,155,0.9354838709677419,0.03225806451612903,0.03225806451612903
01_2021,restaurants,Hillingdon,211,0.8909952606635071,0.07582938388625593,0.03317535545023697
01_2021,restaurants,Hounslow,214,0.9112149532710281,0.06542056074766354,0.02336448598130841
01_2021,restaurants,Islington,619,0.815831987075929,0.1470113085621971,0.03715670436187399
01_2021,restaurants,Kensington and Chelsea,518,0.7799227799227799,0.19111969111969113,0.02895752895752896
01_2021,restaurants,Kingston upon Thames,145,0.8689655172413793,0.09655172413793103,0.034482758620689655
01_2021,restaurants,Lambeth,523,0.8489483747609943,0.11854684512428298,0.032504780114722756
01_2021,restaurants,Lewisham,281,0.9074733096085409,0.0498220640569395,0.042704626334519574
01_2021,restaurants,Merton,208,0.9038461538461539,0.0673076923076923,0.028846153846153848
01_2021,restaurants,Newham,276,0.927536231884058,0.057971014492753624,0.014492753623188406
01_2021,restaurants,Redbridge,171,0.9181286549707602,0.05263157894736842,0.029239766081871343
01_2021,restaurants,Richmond upon Thames,268,0.8619402985074627,0.09701492537313433,0.041044776119402986
01_2021,restaurants,Southwark,575,0.7947826086956522,0.1617391304347826,0.043478260869565216
01_2021,restaurants,Sutton,141,0.9432624113475178,0.028368794326241134,0.028368794326241134
01_2021,restaurants,Tower Hamlets,559,0.8264758497316637,0.13416815742397137,0.03935599284436494
01_2021,restaurants,Waltham Forest,245,0.9346938775510204,0.044897959183673466,0.02040816326530612
01_2021,restaurants,Wandsworth,448,0.8794642857142857,0.07366071428571429,0.046875
01_2021,restaurants,Westminster,1635,0.6984709480122324,0.26055045871559634,0.04097859327217125
01_2021,shopping,Barking and Dagenham,110,0.9454545454545454,0.03636363636363636,0.01818181818181818
01_2021,shopping,Barnet,523,0.9024856596558317,0.0745697896749522,0.022944550669216062
01_2021,shopping,Bexley,202,0.9653465346534653,0.019801980198019802,0.01485148514851485
01_2021,shopping,Brent,385,0.948051948051948,0.03636363636363636,0.015584415584415584
01_2021,shopping,Bromley,361,0.8947368421052632,0.0886426592797784,0.01662049861495845
01_2021,shopping,Camden,1048,0.8482824427480916,0.13263358778625955,0.019083969465648856
01_2021,shopping,Croydon,327,0.9174311926605505,0.05504587155963303,0.027522935779816515
01_2021,shopping,Ealing,398,0.9321608040201005,0.05778894472361809,0.010050251256281407
01_2021,shopping,Enfield,324,0.9228395061728395,0.05864197530864197,0.018518518518518517
01_2021,shopping,Greenwich,259,0.8803088803088803,0.0888030888030888,0.03088803088803089
01_2021,shopping,Hackney,467,0.8993576017130621,0.08565310492505353,0.014989293361884369
01_2021,shopping,Hammersmith and Fulham,479,0.8100208768267223,0.16701461377870563,0.022964509394572025
01_2021,shopping,Haringey,378,0.9232804232804233,0.06349206349206349,0.013227513227513227
01_2021,shopping,Harrow,231,0.9134199134199135,0.06926406926406926,0.017316017316017316
01_2021,shopping,Havering,232,0.9137931034482759,0.0603448275862069,0.02586206896551724
01_2021,shopping,Hillingdon,254,0.9330708661417323,0.05511811023622047,0.011811023622047244
01_2021,shopping,Hounslow,253,0.8656126482213439,0.11857707509881422,0.015810276679841896
01_2021,shopping,Islington,519,0.8786127167630058,0.09633911368015415,0.025048169556840076
01_2021,shopping,Kensington and Chelsea,799,0.7734668335419274,0.19148936170212766,0.03504380475594493
01_2021,shopping,Kingston upon Thames,225,0.7822222222222223,0.19555555555555557,0.022222222222222223
01_2021,shopping,Lambeth,399,0.9022556390977443,0.09273182957393483,0.005012531328320802
01_2021,shopping,Lewisham,301,0.9169435215946844,0.06976744186046512,0.013289036544850499
01_2021,shopping,Merton,232,0.8879310344827587,0.09913793103448276,0.01293103448275862
01_2021,shopping,Newham,367,0.8910081743869209,0.08719346049046321,0.021798365122615803
01_2021,shopping,Redbridge,223,0.8968609865470852,0.05829596412556054,0.04484304932735426
01_2021,shopping,Richmond upon Thames,325,0.8615384615384616,0.11384615384615385,0.024615384615384615
01_2021,shopping,Southwark,430,0.8953488372093024,0.07441860465116279,0.030232558139534883
01_2021,shopping,Sutton,191,0.9214659685863874,0.06282722513089005,0.015706806282722512
01_2021,shopping,Tower Hamlets,553,0.8770343580470162,0.09584086799276673,0.027124773960216998
01_2021,shopping,Waltham Forest,317,0.9053627760252366,0.07255520504731862,0.022082018927444796
01_2021,shopping,Wandsworth,513,0.8518518518518519,0.14035087719298245,0.007797270955165692
01_2021,shopping,Westminster,1703,0.732824427480916,0.24251321197886083,0.024662360540223135
06_2020,restaurants,Barking and Dagenham,106,0.9622641509433962,0.03773584905660377,0
06_2020,restaurants,Barnet,326,0.9325153374233128,0.06748466257668712,0
06_2020,restaurants,Bexley,186,0.9623655913978495,0.03763440860215054,0
06_2020,restaurants,Brent,260,0.9230769230769231,0.07692307692307693,0
06_2020,restaurants,Bromley,252,0.9087301587301587,0.09126984126984126,0
06_2020,restaurants,Camden,879,0.8020477815699659,0.19795221843003413,0
06_2020,restaurants,Croydon,306,0.9477124183006536,0.05228758169934641,0
06_2020,restaurants,Ealing,285,0.9298245614035088,0.07017543859649122,0
06_2020,restaurants,Enfield,233,0.9399141630901288,0.060085836909871244,0
06_2020,restaurants,Greenwich,247,0.8785425101214575,0.1214574898785425,0
06_2020,restaurants,Hackney,558,0.8548387096774194,0.14516129032258066,0
06_2020,restaurants,Hammersmith and Fulham,372,0.8736559139784946,0.12634408602150538,0
06_2020,restaurants,Haringey,300,0.9333333333333333,0.06666666666666667,0
06_2020,restaurants,Harrow,176,0.9375,0.0625,0
06_2020,restaurants,Havering,155,0.9225806451612903,0.07741935483870968,0
06_2020,restaurants,Hillingdon,211,0.8815165876777251,0.11848341232227488,0
06_2020,restaurants,Hounslow,214,0.9112149532710281,0.08878504672897196,0
06_2020,restaurants,Islington,619,0.8465266558966075,0.15347334410339256,0
06_2020,restaurants,Kensington and Chelsea,518,0.8378378378378378,0.16216216216216217,0
06_2020,restaurants,Kingston upon Thames,145,0.896551724137931,0.10344827586206896,0
06_2020,restaurants,Lambeth,523,0.8374760994263862,0.16252390057361377,0
06_2020,restaurants,Lewisham,281,0.9359430604982206,0.06405693950177936,0
06_2020,restaurants,Merton,208,0.9471153846153846,0.052884615384615384,0
06_2020,restaurants,Newham,276,0.8913043478260869,0.10869565217391304,0
06_2020,restaurants,Redbridge,171,0.9005847953216374,0.09941520467836257,0
06_2020,restaurants,Richmond upon Thames,268,0.8619402985074627,0.13805970149253732,0
06_2020,restaurants,Southwark,575,0.8295652173913044,0.17043478260869566,0
06_2020,restaurants,Sutton,141,0.9219858156028369,0.07801418439716312,0
06_2020,restaurants,Tower Hamlets,559,0.8604651162790697,0.13953488372093023,0
06_2020,restaurants,Waltham Forest,245,0.9428571428571428,0.05714285714285714,0
06_2020,restaurants,Wandsworth,448,0.8683035714285714,0.13169642857142858,0
06_2020,restaurants,Westminster,1635,0.7596330275229358,0.24036697247706423,0
06_2020,shopping,Barking and Dagenham,110,0.9363636363636364,0.06363636363636363,0
06_2020,shopping,Barnet,523,0.8967495219885278,0.10325047801147227,0
06_2020,shopping,Bexley,202,0.9603960396039604,0.039603960396039604,0
06_2020,shopping,Brent,385,0.935064935064935,0.06493506493506493,0
06_2020,shopping,Bromley,361,0.8781163434903048,0.12188365650969529,0
06_2020,shopping,Camden,1048,0.8435114503816794,0.15648854961832062,0
06_2020,shopping,Croydon,327,0.9235474006116208,0.0764525993883792,0
06_2020,shopping,Ealing,398,0.914572864321608,0.08542713567839195,0
06_2020,shopping,Enfield,324,0.9166666666666666,0.08333333333333333,0
06_2020,shopping,Greenwich,259,0.8803088803088803,0.11969111969111969,0
06_2020,shopping,Hackney,467,0.8950749464668094,0.10492505353319058,0
06_2020,shopping,Hammersmith and Fulham,479,0.8350730688935282,0.1649269311064718,0
06_2020,shopping,Haringey,378,0.8915343915343915,0.10846560846560846,0
06_2020,shopping,Harrow,231,0.935064935064935,0.06493506493506493,0
06_2020,shopping,Havering,232,0.9525862068965517,0.047413793103448273,0
06_2020,shopping,Hillingdon,254,0.9133858267716536,0.08661417322834646,0
06_2020,shopping,Hounslow,253,0.8814229249011858,0.11857707509881422,0
06_2020,shopping,Islington,519,0.8805394990366089,0.11946050096339114,0
06_2020,shopping,Kensington and Chelsea,799,0.8122653316645807,0.18773466833541927,0
06_2020,shopping,Kingston upon Thames,225,0.8177777777777778,0.18222222222222223,0
06_2020,shopping,Lambeth,399,0.8947368421052632,0.10526315789473684,0
06_2020,shopping,Lewisham,301,0.8770764119601329,0.12292358803986711,0
06_2020,shopping,Merton,232,0.8577586206896551,0.14224137931034483,0
06_2020,shopping,Newham,367,0.8937329700272479,0.10626702997275204,0
06_2020,shopping,Redbridge,223,0.9461883408071748,0.053811659192825115,0
06_2020,shopping,Richmond upon Thames,325,0.8953846153846153,0.10461538461538461,0
06_2020,shopping,Southwark,430,0.8790697674418605,0.12093023255813953,0
06_2020,shopping,Sutton,191,0.900523560209424,0.09947643979057591,0
06_2020,shopping,Tower Hamlets,553,0.8860759493670886,0.11392405063291139,0
06_2020,shopping,Waltham Forest,317,0.9116719242902208,0.08832807570977919,0
06_2020,shopping,Wandsworth,513,0.8791423001949318,0.12085769980506822,0
06_2020,shopping,Westminster,1703,0.7886083382266589,0.21139166177334115,0
07_2020,restaurants,Barking and Dagenham,106,0.9811320754716981,0.018867924528301886,0
07_2020,restaurants,Barnet,326,0.950920245398773,0.049079754601226995,0
07_2020,restaurants,Bexley,186,0.978494623655914,0.021505376344086023,0
07_2020,restaurants,Brent,260,0.9576923076923077,0.03461538461538462,0.007692307692307693
07_2020,restaurants,Bromley,252,0.9246031746031746,0.07539682539682539,0
07_2020,restaurants,Camden,879,0.8179749715585893,0.18088737201365188,0.0011376564277588168
07_2020,restaurants,Croydon,306,0.9640522875816994,0.03594771241830065,0
07_2020,restaurants,Ealing,285,0.9578947368421052,0.042105263157894736,0
07_2020,restaurants,Enfield,233,0.9656652360515021,0.034334763948497854,0
07_2020,restaurants,Greenwich,247,0.9109311740890689,0.08502024291497975,0.004048582995951417
07_2020,restaurants,Hackney,558,0.8763440860215054,0.12186379928315412,0.0017921146953405018
07_2020,restaurants,Hammersmith and Fulham,372,0.9005376344086021,0.09946236559139784,0
07_2020,restaurants,Haringey,300,0.9366666666666666,0.06333333333333334,0
07_2020,restaurants,Harrow,176,0.9545454545454546,0.045454545454545456,0
07_2020,restaurants,Havering,155,0.9354838709677419,0.05806451612903226,0.0064516129032258064
07_2020,restaurants,Hillingdon,211,0.909952606635071,0.08530805687203792,0.004739336492890996
07_2020,restaurants,Hounslow,214,0.9112149532710281,0.08878504672897196,0
07_2020,restaurants,Islington,619,0.8804523424878837,0.11954765751211632,0
07_2020,restaurants,Kensington and Chelsea,518,0.861003861003861,0.138996138996139,0
07_2020,restaurants,Kingston upon Thames,145,0.903448275862069,0.09655172413793103,0
07_2020,restaurants,Lambeth,523,0.875717017208413,0.124282982791587,0
07_2020,restaurants,Lewisham,281,0.9537366548042705,0.042704626334519574,0.0035587188612099642
07_2020,restaurants,Merton,208,0.9567307692307693,0.03365384615384615,0.009615384615384616
07_2020,restaurants,Newham,276,0.9021739130434783,0.09782608695652174,0
07_2020,restaurants,Redbridge,171,0.9415204678362573,0.05847953216374269,0
07_2020,restaurants,Richmond upon Thames,268,0.8843283582089553,0.11567164179104478,0
07_2020,restaurants,Southwark,575,0.8643478260869565,0.13391304347826086,0.0017391304347826088
07_2020,restaurants,Sutton,141,0.950354609929078,0.04964539007092199,0
07_2020,restaurants,Tower Hamlets,559,0.8801431127012522,0.11806797853309481,0.0017889087656529517
07_2020,restaurants,Waltham Forest,245,0.9551020408163265,0.044897959183673466,0
07_2020,restaurants,Wandsworth,448,0.9040178571428571,0.09598214285714286,0
07_2020,restaurants,Westminster,1635,0.7737003058103975,0.22629969418960244,0
07_2020,shopping,Barking and Dagenham,110,0.9818181818181818,0.01818181818181818,0
07_2020,shopping,Barnet,523,0.9579349904397706,0.04206500956022945,0
07_2020,shopping,Bexley,202,0.9900990099009901,0.009900990099009901,0
07_2020,shopping,Brent,385,0.9766233766233766,0.023376623376623377,0
07_2020,shopping,Bromley,361,0.9695290858725761,0.030470914127423823,0
07_2020,shopping,Camden,1048,0.9265267175572519,0.07347328244274809,0
07_2020,shopping,Croydon,327,0.9663608562691132,0.03363914373088685,0
07_2020,shopping,Ealing,398,0.9748743718592965,0.02512562814070352,0
07_2020,shopping,Enfield,324,0.9506172839506173,0.046296296296296294,0.0030864197530864196
07_2020,shopping,Greenwich,259,0.9420849420849421,0.05791505791505792,0
07_2020,shopping,Hackney,467,0.9443254817987152,0.055674518201284794,0
07_2020,shopping,Hammersmith and Fulham,479,0.9290187891440501,0.0709812108559499,0
07_2020,shopping,Haringey,378,0.9470899470899471,0.05291005291005291,0
07_2020,shopping,Harrow,231,0.974025974025974,0.025974025974025976,0
07_2020,shopping,Havering,232,0.9827586206896551,0.017241379310344827,0
07_2020,shopping,Hillingdon,254,0.968503937007874,0.031496062992125984,0
07_2020,shopping,Hounslow,253,0.9486166007905138,0.05138339920948617,0
07_2020,shopping,Islington,519,0.9402697495183044,0.05973025048169557,0
07_2020,shopping,Kensington and Chelsea,799,0.9236545682102628,0.07634543178973717,0
07_2020,shopping,Kingston upon Thames,225,0.9555555555555556,0.044444444444444446,0
07_2020,shopping,Lambeth,399,0.9398496240601504,0.06015037593984962,0
07_2020,shopping,Lewisham,301,0.9534883720930233,0.046511627906976744,0
07_2020,shopping,Merton,232,0.9655172413793104,0.034482758620689655,0
07_2020,shopping,Newham,367,0.9700272479564033,0.02997275204359673,0
07_2020,shopping,Redbridge,223,0.968609865470852,0.03139013452914798,0
07_2020,shopping,Richmond upon Thames,325,0.9446153846153846,0.055384615384615386,0
07_2020,shopping,Southwark,430,0.9395348837209302,0.06046511627906977,0
07_2020,shopping,Sutton,191,0.9738219895287958,0.02617801047120419,0
07_2020,shopping,Tower Hamlets,553,0.9294755877034359,0.06871609403254973,0.0018083182640144665
07_2020,shopping,Waltham Forest,317,0.9652996845425867,0.03470031545741325,0
07_2020,shopping,Wandsworth,513,0.9512670565302144,0.04873294346978557,0
07_2020,shopping,Westminster,1703,0.896065766294774,0.10334703464474457,5.871990604815032e-4
08_2020,restaurants,Barking and Dagenham,106,1,0,0
08_2020,restaurants,Barnet,326,0.9631901840490797,0.03374233128834356,0.003067484662576687
08_2020,restaurants,Bexley,186,0.9838709677419355,0.016129032258064516,0
08_2020,restaurants,Brent,260,0.9538461538461539,0.038461538461538464,0.007692307692307693
08_2020,restaurants,Bromley,252,0.9642857142857143,0.03571428571428571,0
08_2020,restaurants,Camden,879,0.8657565415244596,0.13083048919226395,0.0034129692832764505
08_2020,restaurants,Croydon,306,0.9640522875816994,0.032679738562091505,0.0032679738562091504
08_2020,restaurants,Ealing,285,0.9719298245614035,0.028070175438596492,0
08_2020,restaurants,Enfield,233,0.9828326180257511,0.017167381974248927,0
08_2020,restaurants,Greenwich,247,0.9311740890688259,0.06477732793522267,0.004048582995951417
08_2020,restaurants,Hackney,558,0.9139784946236559,0.08064516129032258,0.005376344086021506
08_2020,restaurants,Hammersmith and Fulham,372,0.9435483870967742,0.056451612903225805,0
08_2020,restaurants,Haringey,300,0.9533333333333334,0.04666666666666667,0
08_2020,restaurants,Harrow,176,0.9715909090909091,0.022727272727272728,0.005681818181818182
08_2020,restaurants,Havering,155,0.9612903225806452,0.025806451612903226,0.012903225806451613
08_2020,restaurants,Hillingdon,211,0.957345971563981,0.03317535545023697,0.009478672985781991
08_2020,restaurants,Hounslow,214,0.9672897196261683,0.03271028037383177,0
08_2020,restaurants,Islington,619,0.9127625201938611,0.0840064620355412,0.0032310177705977385
08_2020,restaurants,Kensington and Chelsea,518,0.8745173745173745,0.12355212355212356,0.0019305019305019305
08_2020,restaurants,Kingston upon Thames,145,0.9655172413793104,0.034482758620689655,0
08_2020,restaurants,Lambeth,523,0.9158699808795411,0.07839388145315487,0.0057361376673040155
08_2020,restaurants,Lewisham,281,0.9715302491103203,0.02491103202846975,0.0035587188612099642
08_2020,restaurants,Merton,208,0.9711538461538461,0.019230769230769232,0.009615384615384616
08_2020,restaurants,Newham,276,0.9384057971014492,0.06159420289855073,0
08_2020,restaurants,Redbridge,171,0.9766081871345029,0.023391812865497075,0
08_2020,restaurants,Richmond upon Thames,268,0.9365671641791045,0.05970149253731343,0.0037313432835820895
08_2020,restaurants,Southwark,575,0.9008695652173913,0.09565217391304348,0.0034782608695652175
08_2020,restaurants,Sutton,141,0.9929078014184397,0.0070921985815602835,0
08_2020,restaurants,Tower Hamlets,559,0.9051878354203936,0.09123434704830054,0.0035778175313059034
08_2020,restaurants,Waltham Forest,245,0.9755102040816327,0.024489795918367346,0
08_2020,restaurants,Wandsworth,448,0.9330357142857143,0.06696428571428571,0
08_2020,restaurants,Westminster,1635,0.8159021406727829,0.18226299694189602,0.001834862385321101
08_2020,shopping,Barking and Dagenham,110,0.990909090909091,0.00909090909090909,0
08_2020,shopping,Barnet,523,0.9904397705544933,0.009560229445506692,0
08_2020,shopping,Bexley,202,1,0,0
08_2020,shopping,Brent,385,0.987012987012987,0.012987012987012988,0
08_2020,shopping,Bromley,361,0.9833795013850416,0.013850415512465374,0.002770083102493075
08_2020,shopping,Camden,1048,0.9513358778625954,0.04866412213740458,0
08_2020,shopping,Croydon,327,0.9938837920489296,0.0030581039755351682,0.0030581039755351682
08_2020,shopping,Ealing,398,0.9798994974874372,0.020100502512562814,0
08_2020,shopping,Enfield,324,0.9753086419753086,0.021604938271604937,0.0030864197530864196
08_2020,shopping,Greenwich,259,0.972972972972973,0.023166023166023165,0.003861003861003861
08_2020,shopping,Hackney,467,0.9700214132762313,0.029978586723768737,0
08_2020,shopping,Hammersmith and Fulham,479,0.9749478079331941,0.022964509394572025,0.0020876826722338203
08_2020,shopping,Haringey,378,0.9814814814814815,0.015873015873015872,0.0026455026455026454
08_2020,shopping,Harrow,231,0.9826839826839827,0.017316017316017316,0
08_2020,shopping,Havering,232,0.9827586206896551,0.017241379310344827,0
08_2020,shopping,Hillingdon,254,0.9881889763779528,0.011811023622047244,0
08_2020,shopping,Hounslow,253,0.9841897233201581,0.015810276679841896,0
08_2020,shopping,Islington,519,0.9826589595375722,0.015414258188824663,0.0019267822736030828
08_2020,shopping,Kensington and Chelsea,799,0.9649561952440551,0.03379224030037547,0.0012515644555694619
08_2020,shopping,Kingston upon Thames,225,0.9866666666666667,0.013333333333333334,0
08_2020,shopping,Lambeth,399,0.9649122807017544,0.03508771929824561,0
08_2020,shopping,Lewisham,301,0.9867109634551495,0.013289036544850499,0
08_2020,shopping,Merton,232,0.9827586206896551,0.01293103448275862,0.004310344827586207
08_2020,shopping,Newham,367,0.989100817438692,0.010899182561307902,0
08_2020,shopping,Redbridge,223,0.9865470852017937,0.013452914798206279,0
08_2020,shopping,Richmond upon Thames,325,0.9876923076923076,0.012307692307692308,0
08_2020,shopping,Southwark,430,0.9697674418604652,0.02558139534883721,0.004651162790697674
08_2020,shopping,Sutton,191,0.9947643979057592,0,0.005235602094240838
08_2020,shopping,Tower Hamlets,553,0.9674502712477396,0.028933092224231464,0.003616636528028933
08_2020,shopping,Waltham Forest,317,0.9842271293375394,0.012618296529968454,0.0031545741324921135
08_2020,shopping,Wandsworth,513,0.9805068226120858,0.01949317738791423,0
08_2020,shopping,Westminster,1703,0.9495008807985907,0.049911920140927775,5.871990604815032e-4
09_2020,restaurants,Barking and Dagenham,106,1,0,0
09_2020,restaurants,Barnet,326,0.9662576687116564,0.02147239263803681,0.012269938650306749
09_2020,restaurants,Bexley,186,0.9731182795698925,0.016129032258064516,0.010752688172043012
09_2020,restaurants,Brent,260,0.9615384615384616,0.026923076923076925,0.011538461538461539
09_2020,restaurants,Bromley,252,0.9841269841269841,0.015873015873015872,0
09_2020,restaurants,Camden,879,0.8691695108077361,0.1149032992036405,0.015927189988623434
09_2020,restaurants,Croydon,306,0.9673202614379085,0.02287581699346405,0.00980392156862745
09_2020,restaurants,Ealing,285,0.9649122807017544,0.031578947368421054,0.0035087719298245615
09_2020,restaurants,Enfield,233,0.9828326180257511,0.012875536480686695,0.004291845493562232
09_2020,restaurants,Greenwich,247,0.9554655870445344,0.04048582995951417,0.004048582995951417
